Item_id,Item_name,Bintang_Hotel
1,Eastparc Hotel Yogyakarta,5
2,Grand Ambarrukmo Yogyakarta,4
3,Kotta GO Yogyakarta,3
4,Crystal Lotus Hotel Yogyakarta,4
5,Omah Manis Guesthouse Yogyakarta,3
6,Grand Keisha Yogyakarta,4
7,Pulang ke Uttara,3
8,GAIA Cosmo Hotel,4
9,Hotel Tentrem Yogyakarta,5
10,Hotel Sumaryo,1
11,Harper Malioboro Yogyakarta by ASTON,4
12,Puri Langenarjan Guest House,3
13,The Alana Hotel & Conference Center Malioboro Yogyakarta by ASTON,4
14,The Manohara Hotel Yogyakarta,4
15,RedDoorz Plus @ Terban Residence,3
16,Lafayette Boutique Hotel,5
17,THE 1O1 Yogyakarta Tugu,4
18,KJ Hotel Yogyakarta,4
19,Yogyakarta Marriott Hotel,5
20,Abadi Hotel Malioboro Yogyakarta by Tritama Hospitality,4
21,Student Park Hotel,3
22,Brothers Inn Babarsari,2
23,Adhisthana Hotel ,3
24,ARTOTEL Suites Bianti - Yogyakarta,5
25,Prima In Hotel Malioboro,3
26,Unisi Hotel Malioboro - Jogja ( Syariah ),2
27,Atrium Premiere Hotel Yogyakarta Ambarukmo,3
28,Eclipse Hotel,2
29,Dem Ayem Heritage Guest House,1
30,Best City Hotel,3
31,Allstay Ecotel Yogyakarta,3
32,Grand Tjokro Yogyakarta,4
33,Ibis Styles Yogyakarta Hotel,3
34,Nueve Malioboro Hotel Yogyakarta,2
35,Hotel Horaios Malioboro,3
36,Chrissant Hotel,1
37,YATS Colony,3
38,D'Senopati Malioboro Grand Hotel,3
39,Hotel Santika Premiere Jogja,4
40,TONITEL Hotel Malioboro Yogyakarta,2
41,Signature Jogja,1
42,Tara Hotel Yogyakarta,4
43,Yellow Star Ambarrukmo Hotel ,3
44,Banana Homestay Prawirodirjan,1
45,Grand Inna Malioboro,4
46,Dermaga Keluarga Hotel Wirobrajan,3
47,Grand Malioboro Yogyakarta Hotel,3
48,Airlangga Hotel,1
49,Top Malioboro Hotel Yogyakarta,3
50,Hotel Dafam Fortuna Malioboro Yogyakarta,3
51,Grand Serela Yogyakarta by KAGUM Hotels,4
52,Hotel Ibis Yogyakarta,3
53,Grand Kangen Hotel Urip Sumoharjo Yogyakarta,3
54,Jambuluwuk Malioboro Hotel Yogyakarta,5
55,Malioboro Garden Hotel,2
56,Density Living,2
57,Amaris Hotel Malioboro,2
58,Grand Senyum Hotel Tugu Yogyakarta,4
59,Hotel Indies Heritage Prawirotaman,3
60,Grand Mercure Yogyakarta Adi Sucipto,5
61,Tickle Hotel,2
62,DKayon Hotel Demangan Yogyakarta,2
63,EDU Hostel,1
64,Cavinton Hotel Yogyakarta by Tritama Hospitality,4
65,Front One Cabin Malioboro Yogyakarta,1
66,Horison Ultima Riss Malioboro Yogyakarta,4
67,Khas Malioboro (formerly Pesonna Hotel Malioboro),3
68,Arte Hotel Malioboro Yogyakarta,3
69,Hotel Pyrenees Jogja,2
70,Forriz Hotel Yogyakarta,4
71,Ibis Yogyakarta Adi Sucipto,3
72,Hotel Indah Palace Yogyakarta,3
73,Hotel Bladok & Restaurant,2
74,Losmen Setia Kawan,1
75,OYO 1319 88 Exclusive Guesthouse,2
76,Aveta Hotel Malioboro,3
77,Paku Mas Hotel,2
78,Burza Hotel Yogyakarta,3
79,Malioboro Palace Hotel,1
80,Malioboro Inn Yogyakarta,2
81,Grand Puri Saron Hotel Malioboro,3
82,Omah Qu Guesthouse Malioboro,1
83,OYO 194 Hotel Sapta Gria,2
84,Royal Ambarrukmo Yogyakarta,5
85,POP! Hotel Timoho Yogyakarta,2
86,Malioboro Prime Yogyakarta,3
87,Grand Zuri Malioboro Yogyakarta,4
88,Sheraton Mustika Yogyakarta Resort & Spa,5
89,Horison Lynn Hotel Yogyakarta,3
90,Melia Purosani Yogyakarta,5
91,Sahid Raya Hotel & Convention Yogyakarta,4
92,The Journey Hotel,1
93,Uniq Hotel,2
94,Grove Hotel Yogyakarta,2
95,OYO 514 Omah Pari Boutique Hotel,2
96,The Cabin Hotel Bhayangkara Yogyakarta,1
97,Kalya Hotel Yogyakarta,3
98,Hotel Kristina Malioboro,3
99,Satoria Hotel Yogyakarta,4
100,Sagan Heritage Hotel,3
101,Puri Artha Hotel Yogyakarta,3
102,Zest Hotel Yogyakarta,2
103,Votel Maerakatja Yogyakarta,1
104,PORTA by The Ambarrukmo,3
105,Hotel Adilla Syariah Ambarukmo,2
106,Metro Malioboro Living,2
107,Sahabat Home Jogja,2
108,Patra Malioboro Hotel,3
109, @HOM Premiere Timoho,4
110,Swiss-Belboutique Yogyakarta,5
